
    Afghanistan  Afghanistan (41)
    Albania  Albania (69)
    Algeria  Algeria (100)
    Andorra  Andorra (23)
    Angola  Angola (14)
    Antigua  Antigua (4)
    Argentina  Argentina (744)
    Armenia  Armenia (63)
    Australia  Australia (2550)
    Austria  Austria (780)
    Azerbaijan  Azerbaijan (83)
    Bahamas  Bahamas (10)
    Bahrain  Bahrain (12)
    Bangladesh  Bangladesh (681)
    Barbados  Barbados (9)
    Belarus  Belarus (388)
    Belgium  Belgium (1223)
    Belize  Belize (10)
    Benin  Benin (6)
    Bermuda  Bermuda (9)
    Bhutan  Bhutan (7)
    Bolivia  Bolivia (83)
    Bosnia  Bosnia (82)
    Botswana  Botswana (8)
    Brazil  Brazil (2389)
    Brunei  Brunei (7)
    Bulgaria  Bulgaria (603)
    Burkina Faso  Burkina Faso (7)
    Burundi  Burundi (4)
    Cambodia  Cambodia (18)
    Cameroon  Cameroon (15)
    Canada  Canada (4732)
    Cape Verde  Cape Verde (6)
    Cayman Islands  Cayman Islands (4)
    Central African Republic  Central African Republic (12)
    Chad  Chad (3)
    Chile  Chile (271)
    China  China (3578)
    Christmas Island  Christmas Island (11)
    Colombia  Colombia (360)
    Comoros  Comoros (1)
    Congo  Congo (8)
    Costa Rica  Costa Rica (65)
    Croatia  Croatia (413)
    Cuba  Cuba (63)
    Cyprus  Cyprus (71)
    Czech Republic  Czech Republic (811)
    Denmark  Denmark (1292)
    Djibouti  Djibouti (12)
    Dominica  Dominica (2)
    Dominican Republic  Dominican Republic (217)
    DPR of Korea  DPR of Korea (18)
    DR of Congo  DR of Congo (5)
    East Timor  East Timor (4)
    Ecuador  Ecuador (42)
    Egypt  Egypt (565)
    El Salvador  El Salvador (40)
    England  England (5477)
    Equatorial Guinea  Equatorial Guinea (3)
    Eritrea  Eritrea (3)
    Estonia  Estonia (346)
    Ethiopia  Ethiopia (34)
    Faroe Islands  Faroe Islands (8)
    Fiji  Fiji (7)
    Finland  Finland (1124)
    France  France (3161)
    FYR of Macedonia  FYR of Macedonia (84)
    Gabon  Gabon (2)
    Gambia  Gambia (3)
    Georgia  Georgia (39)
    Germany  Germany (5790)
    Ghana  Ghana (44)
    Gibraltar  Gibraltar (4)
